attributeName,attributeDefinition,n,ECSO_ID
Co_nmol.kg,"Concentration of cobalt ion in Lake 56 water sample, measured in nanomoles per kilogram of water",1,
Co_nmol.kg,"Concentration of cobalt ion in Manta Lake  water sample, measured in nanomoles per kilogram of water",1,
Co_nmol.kg,"Concentration of cobalt ion in North Head site 1  water sample, measured in nanomoles per kilogram of water",1,
Co_nmol.kg,"Concentration of cobalt ion in North Head site 2  water sample, measured in nanomoles per kilogram of water",1,
Co_nmol.kg,"Concentration of cobalt ion in Swiss Cheese Lake site 1  water sample, measured in nanomoles per kilogram of water",1,
Co_nmol.kg,"Concentration of cobalt ion in Swiss Cheese Lake site 2  water sample, measured in nanomoles per kilogram of water",1,
CO2_Analysis,result of comparison to media only tubes,1,
COD,Cloud Optical Depth,1,
code,Code for stream or river.,1,
code,Code for the stream or river.,1,
Code,Sample code,1,
CODE,Code for type/point surveyed,1,
CODE_FOR_POSITION,Code for position of logger,1,
COL,Data from POLDER-MODIS; used to obtain cloud microphysical properties see details on POLDER at Breon and Colzy (1999) (doi: 10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301),1,
COL,Data from POLDER-MODIS: POLDER-MODIS data are used to obtain cloud microphysical properties see details on POLDER at Breon and Colzy (1999) (doi: 10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301)10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301),1,
cole_count,Number of collared lemmings observed,1,
collar,"a or b, referring to the two collars in each plot",1,
Collection_Method,collection method,1,
Color,Moist soil color,1,
comments,Additional comments,1,
comments,Comments,1,
comments,these are comments regarding specific data points,1,
Comments,Additional comments,1,
Comments,Additional information,1,
Common_name,Common name,1,
Composite_Depth,composite depth from composite section,1,
Composite_Depth_cm,Master Composite Depth in cm,1,
Computed_salinity,computed salinity from mesaured chlorine levels,1,
conceal,"Percent of the nest concealed by vegetation, as observed from above, as of mid incubation",1,
COND,Water conductivity,1,
Cond_microS.cm,"conductivity of water from North Head site 1, measured in microsiemens per centimeter ",1,
Cond_microS.cm,"conductivity of water from Swiss Cheese Lake site 1, measured in microsiemens per centimeter ",1,
Cond_uS,Electrical conductivity of the water sample,1,
Conductivity,Conductivity (CTD sensor),1,
Conductivity (uS/m),Conductivity,1,
conductivity_mmol.kg,"amount of conductivity in Lake 129 water sample under fast flow conditions, measured in millimoles per kilogram of water",1,
conductivity_mmol.kg,"amount of conductivity in Lake 129 water sample, measured in millimoles per kilogram of water",1,
conductivity_mmol.kg,"amount of conductivity in Lake 520 water sample, measured in millimoles per kilogram of water",1,
conductivity_mmol.kg,"amount of conductivity in Lake 56 water sample, measured in millimoles per kilogram of water",1,
conductivity_mmol.kg,"amount of conductivity in Manta Lake  water sample, measured in millimoles per kilogram of water",1,
conductivity_mmol.kg,"amount of conductivity in North Head site 1  water sample, measured in millimoles per kilogram of water",1,
conductivity_mmol.kg,"amount of conductivity in North Head site 2  water sample, measured in millimoles per kilogram of water",1,
conductivity_mmol.kg,"amount of conductivity in Swiss Cheese Lake site 1  water sample, measured in millimoles per kilogram of water",1,
conductivity_mmol.kg,"amount of conductivity in Swiss Cheese Lake site 2  water sample, measured in millimoles per kilogram of water",1,
Conductivity2,"Conductivity (CTD sensor, 2nd)",1,
Confidence_Species,Confidence in Species (0 to 1),1,
Consistency,Soil consistency description,1,
copy number per mL,number of 16S rRNA gene copies per milliliter,1,
core,CORE location (1-6),1,
core,Core name within each site,1,
core ,Core name within each site,1,
Core_Drive,specific core drive included in the MCD and sampled,1,
Core_ID,identification code for core,1,
core_microtopography,Core microtopography,1,
Core_Type,Core type,1,
coring_year_AD,Year core was taken,1,
Corr.WD,Actual wind direction,1,
Corrected V1,volumetric soil moisture from 0-15cm (cm3/cm3),1,
count,"If percentage of taxa is less than 1%, macrofossil remains are expressed as counts",1,
Count,Number of individuals,1,
Count,Species count,1,
Count,Total number of individuals observed during survey,1,
Count_type,Whether the count is an estimated number or an exact number of individuals observed,1,
cover_decimal_,cover of 0.85 m diameter plot in decimal,1,
cover_percent_,cover of 0.85m diameter plot in percent,1,
CP,Convective precipitation,1,
CPAR_corrected_irradiance,In situ PAR (CTD sensor) over mast (incident) PAR,1,
Cr,Total Concentration of Chromium,1,
Cr_nmol.kg,"Concentration of chromium ion in Lake 129 water sample, measured in nanomoles per kilogram of water",1,
Cr_nmol.kg,"Concentration of chromium ion in Lake 520 water sample, measured in nanomoles per kilogram of water",1,
Cr_nmol.kg,"Concentration of chromium ion in Lake 56 water sample, measured in nanomoles per kilogram of water",1,
Cr_nmol.kg,"Concentration of chromium ion in Manta Lake  water sample, measured in nanomoles per kilogram of water",1,
Cr_nmol.kg,"Concentration of chromium ion in North Head site 1  water sample, measured in nanomoles per kilogram of water",1,
Cr_nmol.kg,"Concentration of chromium ion in North Head site 2  water sample, measured in nanomoles per kilogram of water",1,
Cr_nmol.kg,"Concentration of chromium ion in Swiss Cheese Lake site 1  water sample, measured in nanomoles per kilogram of water",1,
Cr_nmol.kg,"Concentration of chromium ion in Swiss Cheese Lake site 2  water sample, measured in nanomoles per kilogram of water",1,
CR3000_Panel_T_Avg,Temperature of the panel of the datalogger,1,
Creek name,Creek name,1,
"Crew_leader_1_institution, Crew_leader_2_institution",Crew leader institution(s),1,
"Crew_leader_1_name, Crew_leader_2_name",Crew leader name(s),1,
Cruise,Cruise designation,1,
Cruise,Cruise name,1,
Cruise,Unique seal tag identifier,1,
CrvFitStatus,"(Exp_SSN<Lin_SSN). 'Lin' means the linear fit was still better after the maximum number of iterations, and the non-linear coefficients have therefore been derived from the linear fit",1,
cs_calc_hf_bt,"MonoRTM-calculated clear sky downwelling brightness temperature, 150 GHz",1,
cs_calc_lf_bt,"MonoRTM-calculated clear sky downwelling brightness temperature, 31.40 GHz",1,
CTD_cast,CTD cast number,1,
CTD_station_number,station identification number,1,
CTDAlt_m,CTD Altimeter. Distance above seafloor,1,
CTDCond_1,First CTD conductivity measurement,1,
CTDCond_2,Second CTD conductivity measurement,1,
CTDOXY,Oxygen measurement (using CTD sensor),1,
CTDOXY_FLAG_W,Quality flag of oxygen measurement,1,
CTDOxy_mL/L_downcast,CTD Oxygen in milliliter per liter,1,
CTDOxy_percent_Sat_downcast,CTD Oxygen saturation percentage,1,
CTDOxy_volts_downcast,CTD Oxygen in volts,1,
CTDPAR,CTD Photosynthetic Active radiation. Photosynthetic Photon Flux Density,1,
CTDPres_dbar ,Pressure measured in decibars,1,
CTDPRS,Pressure measurement (using CTD sensor),1,
CTDPRS_DBARS,Conductivity-Temperature-Density pressure measurement,1,
CTDSAL,Salinity measurement (using CTD sensor),1,
CTDSAL_FLAG_W,Quality flag of salinity,1,
CTDSalt_1,First CTD salinity measurement,1,
CTDSalt_2,Second CTD salinity measurement,1,
CTDScan_raw,CTD Scan,1,
CTDSPAR,CTD Photosynthetic Active Radiation at Surface. Photosynthetic Photon Flux Density,1,
CTDStdDev_Alt,Standard deviation of altimeter,1,
CTDStdDev_Cond_1,Standard deviation of first conductivity measurement,1,
CTDStdDev_Cond_2,Standard deviation of second conductivity measurement,1,
CTDStdDev_DO_1_volts ,Standard deviation of dissolved oxygen,1,
CTDStdDev_Fluor,Standard deviation of fluorescence in milligrams per meter cubed,1,
CTDStdDev_Fluor_volts,Standard deviation of fluorescence in volts,1,
CTDStdDev_PAR,CTD Standard Deviation Photosynthetic Active Radiation,1,
CTDStdDev_SPAR,CTD Standard Deviation Photosynthetic Active Radiation at Surface,1,
CTDStdDev_T90_1,Standard deviation of first temperature measurement,1,
CTDStdDev_T90_2,Standard deviation of second temperature measurement,1,
CTDStdDev_Trans,Standard deviation of transmissivity ,1,
CTDStdDev_Trans_volts,Standard deviation of transmissivity in volts,1,
CTDTemp_1,First CTD temperature measurement,1,
CTDTemp_2 ,Second CTD temperature measurement,1,
CTDTMP,Temperature measured (using CTD sensor),1,
CTDTMP_Celsius,Conductivity-Temperature-Density temperature measurement,1,
CTDTrans_percent,CTD Transmissivity in percent,1,
CTDTrans_v_raw,CTD Transmissivity ,1,
Cu,Copper (Mehlich III extractable elements),1,
CU,Cloud Cover (up),1,
Cu_nmol.kg,"Concentration of copper ion in Lake 129 water sample, measured in nanomoles per kilogram of water",1,
Cu_nmol.kg,"Concentration of copper ion in Lake 520 water sample, measured in nanomoles per kilogram of water",1,
Cu_nmol.kg,"Concentration of copper ion in Lake 56 water sample, measured in nanomoles per kilogram of water",1,
Cu_nmol.kg,"Concentration of copper ion in Manta Lake  water sample, measured in nanomoles per kilogram of water",1,
Cu_nmol.kg,"Concentration of copper ion in North Head site 1  water sample, measured in nanomoles per kilogram of water",1,
Cu_nmol.kg,"Concentration of copper ion in North Head site 2  water sample, measured in nanomoles per kilogram of water",1,
Cu_nmol.kg,"Concentration of copper ion in Swiss Cheese Lake site 1  water sample, measured in nanomoles per kilogram of water",1,
Cu_nmol.kg,"Concentration of copper ion in Swiss Cheese Lake site 2  water sample, measured in nanomoles per kilogram of water",1,
Culmen,Exposed culmen length,1,
CWP,Condensed Water Path,1,
CZ,Cosine of Solar Zenith Angle,1,
d,delta deuterium of the water,1,
D,delta deuterium value of sample water (per mil),1,
D_SNOW,Snow depth,1,
d_squared_D,Measurement of the deuterium isotope in water.,1,
d-excess,d2H-H2O-8*d18O-H2O,1,
d15N,d15N concentration per mil,1,
d15N,d15N in per mil of sample,1,
d15N,Delta 15 Nitrogen measurement,1,
d15N,Isotopic concentration of d15N from aboveground foliar biomass (per mille),1,
d15N,Nitrogen isotope ratio value,1,
D15N,"15N istopic ratio, per mil",1,
d15N_FLAG_W,Quality flag of Delta 15 Nitrogen,1,
d15N_STDEV,Standard deviation of Delta 15 Nitrogen,1,
d15N_STDEV_FLAG_W,Quality flag of Delta 15 Nitrogen standard deviation,1,
d18O,Delta 18 Oxygen measurement,1,
d18O,"Oxygen 18 isotope concentration concentration (deltaD) measured in parts per thousand (permil). Measured using the DRI continuous method (Maselli et al., Isotopes in Environmental Health, 2013)",1,
d18O,Ratio of stable isotpoes oxygen-18 and oxygen-16,1,
d18O_FLAG_W,Quality flag of Delta 18 Oxygen measurement,1,
d18O_STDEV,Standard deviation of Delta 18 Oxygen,1,
d18O_STDEV_FLAG_W,Quality flag of Delta 18 Oxygen standard deviation,1,
d18O-H2O,Oxygen water isotope,1,
d2H-H2O,Deuterium water isotope,1,
date,Date measurement was taken,1,
date,Date of collection,1,
date,Date of sample collection,1,
date,Date sample was collected,1,
date,date sample was taken,1,
date,"date, UTC",1,
Date,date,1,
Date,date and time of measurement,1,
Date,"date diurnal starts, 4pm, format MM/DD/YY",1,
Date,date in DD-MMM-YYYY format,1,
Date,Date in GMT,1,
Date,Date in yyyy.mm.dd.hh.mm,1,
Date,Date nest or den was discovered,1,
Date,"Date of beginning of harvest. Harvests usually last 4-5 days, format DD-MMM-YY",1,
Date,"Date of beginning of harvest. Harvests usually last 4-5 days, format MM/DD/YYYY",1,
Date,Date of point count,1,
Date,Date of predator-lemming survey,1,
Date,Date of sampling,1,
Date,DateTime in MM/DD/YY HH:MM,1,
Date,Sampling Date,1,
Date,Sampling year,1,
DATE,Data from POLDER-MODIS: POLDER-MODIS data are used to obtain cloud microphysical properties see details on POLDER at Breon and Colzy (1999) (doi: 10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301)10.1175/1520-0450(1999)038<0777:CDFTSP>2.0.CO.2) and on MODIS collection 6 at Baum et al. (2012) (doi: 10.1175/JAMC-D-11-0203.1) and Platnick et al. (2003) (doi: 10.1109/TGRS.2002.808301),1,
DATE,Date of measurement,1,
DATE,Date that sample is taken on,1,
DATE,Date(YYYY MM DD HH),1,
Date collected,Sample collection date,1,
Date run,Date sample was run on the gas chromatograph,1,
Date_and_time,Date and time,1,
Date_Collected,Date at the start of sample collection,1,
Date_found,Date nest was found,1,
Date_treatment,"Date that the treatment was applied to the nest, if known.",1,
Date-time,Time of measurement,1,
Date.P,"Date, and time of measure",1,
Date/time,Date and time (UTC) sample was collected,1,
datetime_UTC,All date and time stamps are in UTC and are the midpoint time from hourly data analysis (e.g. the data line labeled 18:30:00 UTC contains all data from 18:00:00 to 18:59:59 UTC) .,1,
datetimestr,"date/time string, UTC",1,
day,day,1,
Day,Day measurement was taken,1,
Day,Day of the month,1,
Day_of_Year(DOY),Day and time of the year samples were collected.,1,
DayID,Day since the measure began,1,
DayID,Days since measure began,1,
Dayofyear,Day of year sample was collected,1,
Days Incubated,Number of days sample was incubated,1,
DBH,Diameter at breast height,1,
DBO_line,Distributed Biological Observatory code indicating the regional location of the cruise,1,
DBO_LineRegion,Distributed Biological Observatory code indicating the regional location of the cruise.,1,
DBO_station_name,Distributed Biological Observatory station name that refers to a particular site and can be referenced with the Latitude and Longitude coordinates or by going to the NOAA DBO website: http://www.pmel.noaa.gov/dbo/sites/default/files/thumbnails/image/DBO_1-5_Regions_Stations.png,1,
DBO_StationName,Distributed Biological Observatory station name that refers to a particular site and can be referenced with the Latitude and Longitude coordinates or by going to the NOAA DBO website: http://www.pmel.noaa.gov/dbo/sites/default/files/thumbnails/image/DBO_1-5_Regions_Stations.png ,1,
DBORegion,DBO bounding region where data was collected (DBO 1-3),1,
dd,day,1,
dD,"Deuterium isotope concentration (deltaD) measured in parts per thousand (permil). Measured using the DRI continuous method (Maselli et al., Isotopes in Environmental Health, 2013)",1,
DD,Date(YYYY MM DD HH),1,
Dead,Percent cover hits for dead biomass,1,
DeadBand,"Time (s) after the chamber closes that are skipped by the analysis,
in the latest (re-)computation",1,
decimal_year,Year in decimal format,1,
depth,"Depth from surface of ice cover, positive up",1,
depth,Depth of soil sample in meters,1,
depth,Sample depth in meters,1,
Depth,Depth calculated from pressure,1,
Depth,Depth of the organic or mineral layer increment that was sampled; mineral depth represents O-M boundary to top of frozen soil,1,
Depth,depth the sample was drawn from,1,
DEPTH,Depth of Rosette Niskin Bottle,1,
DEPTH,Depth of temperature logger,1,
Depth ,Soil core depths have not been corrected for compaction,1,
Depth (cm),Soil sample depth (e.g. 0-25 cm) not including live moss/lichen layer above,1,
Depth (cm),"The bottom depth of the subsection (i.e. ""20.5"" is the core subsection from 20-20.5 cm)",1,
depth_cm,Depth of the observation.,1,
depth_cm,The depth of the observation.,1,
depth_from_surface,depth from the surface in meters,1,
Depth_Horizon,Soils were subsectioned into depth horizons and freeze dried,1,
Depth_in_firn,"Depth at which the firn air samples were taken, measured in meters",1,
depth_lb,Lower bound of depth of insertion/extraction of micro-lysimeters,1,
Depth_LB,Lower bound depth of soil plot,1,
Depth_m,"Depth from surface of lake, stream, or soil, or a description of location such as ""meta"" for metalimnion.",1,
Depth_NMEA,Bottom depth (retrieved from navigation system),1,
Depth_of_sample_LB,Lower bound depth of sample,1,
Depth_of_sample_UB,Upper bound depth of sample,1,
DEPTH_TO_MASSIVE_ICE,Types of massive ice. Numbers with paranthesis were excluded from calculations of average values.,1,
Depth_Top,top depth of sediment sample (core drive depth),1,
depth_ub,Upper bound of depth of insertion/extraction of micro-lysimeters,1,
Depth_UB,Upper bound depth of soil plot,1,
Description,Description,1,
Description,Description of sample site,1,
Description,Description of sample.,1,
Description,Description of site,1,
Development stage,"0. no apparent present or past thermo-degradation, 1. active thermo-degradation (>25 % of headwall is actively expanding) with completely turbid outflow, 2. moderate thermo-degradation (<25 % of headwall is expanding) with somewhat turbid outflow, and 3. stabilized or limited thermo-degradation with complete or partial revegetation and clear outflow.",1,
Development stage,Development stage,1,
Development stage recoded,Development stage recoded 1-4 for qualitative linear regression against water chemistry parameters,1,
DewPointCelsius,Water depth,1,
diameter.cm,diameter of the plant,1,
DIC_FLAG_W,Quality flag of dissolved Inorganic Carbon measurement,1,
din,NO3+NH4,1,
DIN (uM),dissolved inorganic nitrogen,1,
DIN_Mineralization_ug_per_d_g_soil,Dissolved inorganic nitrogen (DIN) mineralization,1,
Discharge (L/s),Discharge at point of sample collection.,1,
Dissolved Oxygen (%),Water dissolved oxygen percent,1,
dist_downstream,distance downstream from Kuparuk River site 9 (Green Cabin Lake) in kilometers,1,
Distance Along Boardwalk,"Distance Along Boardwalk indicates the location along the boardwalk where the measurements were made, measured in meters from the west end of each boardwalk",1,
Distance from ice edge,How far away the sample was from the edge of the ice.,1,
Distance_from_the_road,Distance from the road in meters,1,
DISTANCE_FROM_TRANSECT ,Distance of measurement from transect,1,
Distance_km,"Distance along a stream where negative values are upstream of a designated starting point and positive values are downstream of the designated starting point. For soil sites, the distance is the perpendicular distance from the river or lake shore. Can include a text description.",1,
Distance_surveyed_km,Total distance of the survey,1,
dN15_vs_air,Ratio of dN15 vs. air,1,
DO,Dissolved oxygen.,1,
DO,The level of dissolved oxygen at the point.,1,
DO,The level of dissolved oxygen at the point. Corrected to bottle DO for sensor offset (-13 umol/kg) and deep DO for sensor drift (+11.5 umol/kg).,1,
DO,The level of dissolved oxygen at the point. Corrected to bottle DO for sensor offset (+27 umol/kg). NO Drift correction needed.,1,
DO Concentration (mg/L),Water dissolved oxygen concentration,1,
DO_mg.L,"Amount of dissolved oxygen in Lake  520 water, measured in milligrams per liter of water ",1,
DO_mg.L,"Amount of dissolved oxygen in Lake 129 under fast flow conditions, measured in milligrams per liter of water",1,
DO_mg.L,"Amount of dissolved oxygen in Lake 129 water, measured in milligrams per liter of water ",1,
DO_mg.L,"Amount of dissolved oxygen in Lake 56 water, measured in milligrams per liter of water ",1,
DO_mg.L,"Amount of dissolved oxygen in Manta Lake  water, measured in milligrams per liter of water ",1,
DO_mg.L,"Amount of dissolved oxygen in North Head site 1 water, measured in milligrams per liter of water ",1,
DO_mg.L,"Amount of dissolved oxygen in Swiss Cheese Lake site 1 water, measured in milligrams per liter of water ",1,
DO_mg.L,"Amount of dissolved oxygen in Swiss Cheese Lake site 2 water, measured in milligrams per liter of water ",1,
DO_milligramPerLiter,Dissolved Oxygen in milligrams per liter,1,
DO_percent,Dissolved Oxygen as a percent of air saturation,1,
DOM,Data from FLEXPART: The Lagrangian particle dispersion model FLEXPART see Stohl et al. (1998 and 2005) for more details,1,
dom_land,Dominant landform,1,
dom_veg,Dominant vegetation,1,
don,TDN-No3+nh4,1,
DON (uM),dissolved organic nitrogen (TDN minus dissolved inorganic nitrogen),1,
DON mg/g-soil,Concentration of adissolved organic nitrogen in dry soil from 2M KCl extractions,1,
DON_Mineralization_ug_per_d_g_soil,Dissolved organic nitrogen (DON) mineralization,1,
DON:TN,Ratio of dissolved organic nitrogen to total nitrogen in 2M KCl extracts,1,
down_CTD_salt,measured salt levels from CTD during the downcast,1,
down_CTD_temp,measured temperature from CTD during the downcast,1,
Downk(8m),Downward shortwave radiation (W/m2),1,
Downl(8.3),Downward longwave radiation (W/m2),1,
doy,Day of Year,1,
doy,Day of year measurement was taken,1,
doy,Day of year sample was collected,1,
DOY,Day of year,1,
DOY,day of year measurement was taken,1,
DOY_2013,day of year,1,
doy_frac,fractional day of year,1,
doy_frac,Fractional Day of Year,1,
doy_frac,time of measurement expressed in fractional day of year,1,
DOY.1,Day of Year,1,
dP_dx,interpolated pressure x-derivative times,1,
dP_dy,interpolated pressure y-derivative times,1,
Drive_bottom,core measured from bottom,1,
Drive_ID,drive id,1,
Drive_mid,core measured in the middle,1,
Drive_top,core measured from top,1,
DRY,d or c,1,
Dry Wt (g),Harvest weight of that tissue x species x block.,1,
Dry_soil_chroma,Dry soil chroma determined in the lab,1,
Dry_soil_hue,Dry soil hue determined in the lab,1,
Dry_soil_value,Dry soil hue determined in the lab,1,
DryBulbCelsius,Dry Bulb Temperature,1,
drying ,Designation whether or not drying treatment was applied,1,
DryWeight,Dry weight of specimen,1,
dSCD_BrO,differential slant column density of Bromine monoxide in molecules per cm^2.  This is differential compared to the zenith (90 degree elevation) spectrum in the same profile measurement sequence,1,
dSCD_BrO_err,error on the dSCD (differential slant column density) for BrO (Bromine monoxide) from DOAS (Differential Optical Absorption Spectroscopy) fitting,1,
dSCD_NO2,dSCD (differential slant column density) for NO2 (Nitrogen dioxide).  Note that most O-buoys are in remote locations and have detect little NO2.,1,
dSCD_NO2_err,dSCD (differential slant column density) error for NO2 (Nitrogen dioxide),1,
dSCD_O3,"dSCD (differential slant column density) for O3 (ozone).  Note that this slant column density is compared to the zenith, so is not equivalent to column ozone (e.g. stratospheric ozone).  It also different from surface ozone mixing ratio, which is measured by a different instrument on the same platform.",1,
dSCD_O3_err,dSCD (differential slant column density) error for O3 (ozone),1,
dSCD_O4,"dSCD (differential slant column density) for O4 = oxygen collisional dimers, AKA (O_2)_2, measured as the square of O2 number density, so dSCD unit is molecule^2 cm^-5",1,
dSCD_O4_err,dSCD (differential slant column density) error for O4,1,
DUNL_band,Dunlin band,1,
DUNL_nest,Dunlin nest,1,
DUNL_sideproject,Semi-palmated Sandpiper side project,1,
DUNL_sideproject_desc,Dunlin side project details,1,
DUST_PENETRATED_PEAT,Thickness of dust penetrating the peat,1,
"DUST_PENETRATED_PEAT 	",Thickness of dust penetrating the peat,1,
DUST_SURFACE_THICKNESS,Thickness of surface dust layer,1,
DUST_THICKNESS,Thickness of dust penetrating the peat,1,
DWARF_SHRUB_HEIGHT,Height of dwarf shrubs,1,
Dy,Total Concentration of Dysprosium,1,
ecotype,ecotype classification based on vegetation and surficial geology,1,
ecozone,Ecozone,1,
Egg_num,Number of eggs,1,
Electron Acceptor,type of inorganic electron acceptor,1,
elev,view elevation angle,1,
Elev,"The elevation of the sample, in meters above sea level.",1,
ELEVATION,Elevation of point surveyed,1,
Elevation_m,Elevation above sea level,1,
Elevation_masl,Lake elevation in meters above sea level,1,
End,Last date that crew member participated in field work,1,
end lat,Ending latitude,1,
end long,Ending longitude,1,
end_date,End date of collection,1,
end_date,End date of sample collection,1,
End_lat,latitude at the end of the survey,1,
End_lat,latitude at the end of the survey in decimal degrees,1,
End_lon,Ending longitude,1,
End_lon,longitude at the end of the survey,1,
End_time,Time of departure on plot/search area,1,
End_Time,The time the water sample stopped being taken. In Alaska Daylight Time (AKDT),1,
Eng_flag_corrected,Engraved flag identifier (corrected),1,
eng_flag_in,Previous engraved flag id,1,
Envelope_g,Mass of dried envelope,1,
ER,Blowing snow erosion,1,
ERECT_DWARF_SHRUB_DEAD,Erect dwarf shrub cover in % standing dead,1,
err_aot361nm,approximate error on the prior quantity,1,
err_aot361nm_raw,approximate error on the prior quantity,1,
err_BrO_f200,approximate error on the prior quantity,1,
err_BrO_f200_raw,approximate error on the prior quantity,1,
err_BrO_LTVCD,approximate error on the prior quantity,1,
err_BrO_LTVCD_raw,approximate error on the prior quantity,1,
err_BrO_pptv_200,approximate error on the prior quantity,1,
err_BrO_VCD_200,approximate error on the prior quantity,1,
err_BrO_VCD_200_raw,approximate error on the prior quantity,1,
err_ext361nm_200,approximate error on the prior quantity,1,
err_ext361nm_200_raw,approximate error on the prior quantity,1,
est_yr,Chronology System,1,
est_yr_Chrono_DRI_v1,Chronology System,1,
est_yr_Chrono_v1,Chronology System,1,
estHatch,"Best estimate of hatch date, as per egg floating (see below), observations of timing of egg laying, or observed hatching eggs or hatchling chicks.",1,
estHatch_julian,Best estimate of hatch date in julian days,1,
estimatedYear,"Estimated year of measurement. Age scale in deeper section revised since Klein et al., 2016.",1,
Estuary,estuary name abberviation,1,
ethane_numflag,Data flag for ethane,1,
Eu,Total Concentration of Europium,1,
Ex_Ctl,Indicates whether the plot is an exclusion (Ex) or control (Ctl) plot,1,
exp_conv,Identifier indicating which slope yeilds the best fit; 1 indicates exponential,1,
Exp_Flux,Flux computed from Exponential Fit,1,
Exp_FluxCV,Coefficient of variation (%) of Exp Flux,1,
Exp_R2,Correlation coefficient for Exponential Fit,1,
exp_slope,Value of slope of exponential fit,1,
EXPOCODE,Unique cruise code,1,
ext361nm_200,Extinction (per km) for the layer from 0-200m above ground level,1,
ext361nm_200_raw,"Raw measurement of extinction 0-200m, in km^-1",1,
F_ALBEDO,Shortwave albedo,1,
F_KDOWN,Shortwave radiation down (Wm-2) (19m),1,
F_KUP,Shortwave radiation up (Wm-2) (19m),1,
F_LDOWN,Longwave radiation down (Wm-2) (19m),1,
F_LUP,Longwave radiation up (Wm-2) (19m),1,
F_VALIDY,Validy is sum of other valid so if all valid then validy=8,1,
fail_cause,"cause of failure or undetermined status, if applicable",1,
FAIRT1FA,Fixed air temp 12.8 m (oC),1,
FAIRT2,Fixed air temp 9.5m (oC0,1,
FAIRT3,Air temp 7.5 m (oC),1,
FAIRT4,Air temp 0.5 m (oC),1,
Family,Taxonomic family,1,
Fat,Body fat score,1,
fate,fate of the nest,1,
fateDate,Date that nest fate was recorded,1,
fdoy,"fractional day of year, UTC, noon on 1 Jan = 1.5000",1,
Fe,Iron (Mehlich III extractable elements),1,
Fe,The amount of iron,1,
Fe,Total Concentration of Iron,1,
Fe cps,Iron as counted per second.,1,
Fe_umol.kg,"Concentration of iron ion in Lake 129 water sample under fast flow conditions, measured in micromoles per kilogram of water",1,
Fe_umol.kg,"Concentration of iron ion in Lake 129 water sample, measured in micromoles per kilogram of water",1,
Fe_umol.kg,"Concentration of iron ion in Lake 520 water sample, measured in micromoles per kilogram of water",1,
Fe_umol.kg,"Concentration of iron ion in Lake 56 water sample, measured in micromoles per kilogram of water",1,
Fe_umol.kg,"Concentration of iron ion in Manta Lake  water sample, measured in micromoles per kilogram of water",1,
Fe_umol.kg,"Concentration of iron ion in North Head site 1  water sample, measured in micromoles per kilogram of water",1,
Fe_umol.kg,"Concentration of iron ion in North Head site 2  water sample, measured in micromoles per kilogram of water",1,
Fe_umol.kg,"Concentration of iron ion in Swiss Cheese Lake site 1  water sample, measured in micromoles per kilogram of water",1,
Fe_umol.kg,"Concentration of iron ion in Swiss Cheese Lake site 2  water sample, measured in micromoles per kilogram of water",1,
feathers_coll,Which feathers were collected for ASDN archive,1,
Feature,Feature Code,1,
Feature altitude,Feature altitude,1,
Feature area (m2),Feature area (m2),1,
Feature name,Arbitrary feature names,1,
Feature perimeter (m),Feature perimeter (m),1,
fecal_sample,Whether fecal sample was collected (passive sampling by placing bird in box for few minutes) for gut microbiota side-project.,1,
fecal_sample_pres,What type of preservative was used for fecal sample,1,
fence,snowfence #,1,
fence,snowfence # ,1,
fence,unique fence number: 1 through 6,1,
Fert,Whether the incubation was carried out with added nutrients or not.,1,
"ffm_p1, ... ffm_p10",Flight Feather Molt Scores - primaries 1-10,1,
"ffm_s1, ... ffm_s10",Flight Feather Molt Scores - secondaries 1-10,1,
FH1_QV,1 Organic soil moisture content using algorithm of Hinzman (%),1,
FH1WATER,Vitel volumetric water content no organic correction (m3/m3),1,
FH2_QV,2 Organic soil moisture content using algorithm of Hinzman (%),1,
FH2WATER,Vitel volumetric water content no organic correction (m3/m3),1,
FH3_QV,3 Organic soil moisture content using algorithm of Hinzman (%),1,
FH3WATER,Vitel volumetric water content no organic correction (m3/m3),1,
FH4_QV,4 Organic soil moisture content using algorithm of Hinzman (%),1,
FH4WATER,Vitel volumetric water content no organic correction (m3/m3),1,
FH5_QV,5 Organic soil moisture content using algorithm of Hinzman (%),1,
FH5WATER,Vitel volumetric water content no organic correction (m3/m3),1,
FH6_QV,6 Organic soil moisture content using algorithm of Hinzman (%),1,
